"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37192","Try to add good moment without both","Good Moments Management","2026-02-25","passed","2026-02-25","","","",""
"","3112","Try to add memory without both","Memory Book Management","2026-02-24","passed","2026-02-24","","","",""
"","6144","Try to add good moment without photo","Good Moments Management","2026-02-25","passed","2026-02-25","","","",""
"","5014","Try to add memory without photo","Memory Book Management","2026-02-24","passed","2026-02-24","","","",""
"","7252","Try to add good moment without description","Good Moments Management","2026-02-25","passed","2026-02-25","","","",""
"","30791","Create a valid memory entry with image and text","Memory Book Management","2026-02-24","passed","2026-02-24","","","",""
"","10122","Try to add memory without description","Memory Book Management","2026-02-24","passed","2026-02-24","","","",""
"","30740","Create a valid good moment entry with image and text","Good Moments Management","2026-02-25","passed","2026-02-25","","","",""
